,audio_filename,filename,id,modality,vocal_channel,emotion,emotion_string,emotional,emotional_string,statement,repetition,speaker,gender,start,end,channels,Anger,Happiness,Sadness,Neutral state
2,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-01-01-02-01-20.wav,03-01-01-01-02-01-20,RAVDESS_2,03,01,01,neutral,01,normal,02,01,20,F,0,3.436780045351474,,0,0,0,1
6,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-04-02-01-02-20.wav,03-01-04-02-01-02-20,RAVDESS_6,03,01,04,sad,02,strong,01,02,20,F,0,4.237596371882086,,0,0,1,0
8,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-05-02-02-01-20.wav,03-01-05-02-02-01-20,RAVDESS_8,03,01,05,angry,02,strong,02,01,20,F,0,4.404444444444445,,1,0,0,0
9,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-05-01-02-02-20.wav,03-01-05-01-02-02-20,RAVDESS_9,03,01,05,angry,01,normal,02,02,20,F,0,3.803809523809524,,1,0,0,0
11,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-04-01-01-01-20.wav,03-01-04-01-01-01-20,RAVDESS_11,03,01,04,sad,01,normal,01,01,20,F,0,3.603628117913832,,0,0,1,0
13,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-01-01-01-02-20.wav,03-01-01-01-01-02-20,RAVDESS_13,03,01,01,neutral,01,normal,01,02,20,F,0,3.570249433106576,,0,0,0,1
14,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-04-01-01-02-20.wav,03-01-04-01-01-02-20,RAVDESS_14,03,01,04,sad,01,normal,01,02,20,F,0,3.5035374149659866,,0,0,1,0
16,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-03-02-02-01-20.wav,03-01-03-02-02-01-20,RAVDESS_16,03,01,03,happy,02,strong,02,01,20,F,0,3.570294784580499,,0,1,0,0
19,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-03-02-02-02-20.wav,03-01-03-02-02-02-20,RAVDESS_19,03,01,03,happy,02,strong,02,02,20,F,0,3.703718820861678,,0,1,0,0
21,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-05-02-01-02-20.wav,03-01-05-02-01-02-20,RAVDESS_21,03,01,05,angry,02,strong,01,02,20,F,0,4.070748299319728,,1,0,0,0
23,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-03-01-02-01-20.wav,03-01-03-01-02-01-20,RAVDESS_23,03,01,03,happy,01,normal,02,01,20,F,0,3.47015873015873,,0,1,0,0
26,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-03-01-01-02-20.wav,03-01-03-01-01-02-20,RAVDESS_26,03,01,03,happy,01,normal,01,02,20,F,0,3.703718820861678,,0,1,0,0
27,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-04-01-02-01-20.wav,03-01-04-01-02-01-20,RAVDESS_27,03,01,04,sad,01,normal,02,01,20,F,0,3.47015873015873,,0,0,1,0
29,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-03-02-01-02-20.wav,03-01-03-02-01-02-20,RAVDESS_29,03,01,03,happy,02,strong,01,02,20,F,0,4.304308390022676,,0,1,0,0
30,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-03-02-01-01-20.wav,03-01-03-02-01-01-20,RAVDESS_30,03,01,03,happy,02,strong,01,01,20,F,0,3.670340136054422,,0,1,0,0
31,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-01-01-01-01-20.wav,03-01-01-01-01-01-20,RAVDESS_31,03,01,01,neutral,01,normal,01,01,20,F,0,3.47015873015873,,0,0,0,1
37,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-05-01-01-02-20.wav,03-01-05-01-01-02-20,RAVDESS_37,03,01,05,angry,01,normal,01,02,20,F,0,3.737097505668934,,1,0,0,0
38,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-05-02-01-01-20.wav,03-01-05-02-01-01-20,RAVDESS_38,03,01,05,angry,02,strong,01,01,20,F,0,4.13750566893424,,1,0,0,0
39,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-03-01-01-01-20.wav,03-01-03-01-01-01-20,RAVDESS_39,03,01,03,happy,01,normal,01,01,20,F,0,3.5369160997732427,,0,1,0,0
43,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-04-01-02-02-20.wav,03-01-04-01-02-02-20,RAVDESS_43,03,01,04,sad,01,normal,02,02,20,F,0,3.3700680272108845,,0,0,1,0
46,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-04-02-02-01-20.wav,03-01-04-02-02-01-20,RAVDESS_46,03,01,04,sad,02,strong,02,01,20,F,0,3.803854875283447,,0,0,1,0
47,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-04-02-01-01-20.wav,03-01-04-02-01-01-20,RAVDESS_47,03,01,04,sad,02,strong,01,01,20,F,0,3.7704761904761903,,0,0,1,0
